domain,level,k,n_categories,n_other,pct_other,zero_cells,total_cells,sparsity_pct,n_unknown
Disease,1,5,4,681,34.4984802431611,5,32,15.625,
Disease,2,7,6,390,19.756838905775076,6,48,12.5,
Disease,3,9,8,223,11.296859169199596,13,64,20.3125,
Disease,4,11,10,104,5.268490374873354,19,80,23.75,
Disease,5,13,12,74,3.7487335359675784,29,96,30.208333333333332,
Disease,6,14,13,20,1.0131712259371835,33,104,31.73076923076923,
Disease,7,15,14,12,0.60790273556231,39,112,34.82142857142857,
Mechanism,1,4,3,1010,51.16514690982776,3,24,12.5,101.0
Mechanism,2,6,5,690,34.954407294832826,4,40,10.0,101.0
Mechanism,3,8,7,445,22.543059777102332,5,56,8.928571428571429,101.0
Mechanism,4,9,8,273,13.829787234042554,5,64,7.8125,101.0
Mechanism,5,10,9,199,10.081053698074975,8,72,11.11111111111111,101.0
Mechanism,6,11,10,184,9.321175278622087,10,80,12.5,101.0
Mechanism,7,12,11,107,5.420466058763932,11,88,12.5,101.0
Mechanism,8,13,12,31,1.5704154002026343,13,96,13.541666666666666,101.0
