site1,site2,n_shared,n_site1,n_site2,pct_shared,flagged
BL25,GV4,0,22,33,0.0,False
BL25,ST25,12,22,89,54.55,True
BL25,CV12,1,22,68,4.55,False
BL25,PC6,0,22,181,0.0,False
BL25,LI4,0,22,115,0.0,False
BL25,SP6,0,22,292,0.0,False
BL25,ST36,2,22,1174,9.09,False
GV4,ST25,0,33,89,0.0,False
GV4,CV12,0,33,68,0.0,False
GV4,PC6,0,33,181,0.0,False
GV4,LI4,1,33,115,3.03,False
GV4,SP6,1,33,292,3.03,False
GV4,ST36,4,33,1174,12.12,False
ST25,CV12,9,89,68,13.24,False
ST25,PC6,1,89,181,1.12,False
ST25,LI4,0,89,115,0.0,False
ST25,SP6,7,89,292,7.87,False
ST25,ST36,31,89,1174,34.83,False
CV12,PC6,4,68,181,5.88,False
CV12,LI4,2,68,115,2.94,False
CV12,SP6,5,68,292,7.35,False
CV12,ST36,44,68,1174,64.71,True
PC6,LI4,14,181,115,12.17,False
PC6,SP6,24,181,292,13.26,False
PC6,ST36,45,181,1174,24.86,False
LI4,SP6,17,115,292,14.78,False
LI4,ST36,40,115,1174,34.78,False
SP6,ST36,197,292,1174,67.47,True
