Site,Domain,Addiction_n,Addiction_pct,Cancer/Oncology_n,Cancer/Oncology_pct,Cardiovascular_n,Cardiovascular_pct,Dermatological_n,Dermatological_pct,Gastrointestinal_n,Gastrointestinal_pct,Immune/Inflammatory_n,Immune/Inflammatory_pct,Metabolic/Endocrine_n,Metabolic/Endocrine_pct,Musculoskeletal_n,Musculoskeletal_pct,Neurological_n,Neurological_pct,Pain_n,Pain_pct,Psychiatric_n,Psychiatric_pct,Renal/Urological_n,Renal/Urological_pct,Reproductive_n,Reproductive_pct,Respiratory_n,Respiratory_pct,Analgesic/Opioid_n,Analgesic/Opioid_pct,Autonomic/Neuroendocrine_n,Autonomic/Neuroendocrine_pct,Autophagy/Mitophagy_n,Autophagy/Mitophagy_pct,Cell Survival/Apoptosis_n,Cell Survival/Apoptosis_pct,Gut-Brain/Enteric_n,Gut-Brain/Enteric_pct,Inflammatory/Immune_n,Inflammatory/Immune_pct,Ion Channel/Pain Transduction_n,Ion Channel/Pain Transduction_pct,Metabolic Pathway_n,Metabolic Pathway_pct,Neural Circuit/Connectivity_n,Neural Circuit/Connectivity_pct,Neurochemical Signaling_n,Neurochemical Signaling_pct,Neuroprotective_n,Neuroprotective_pct,Oxidative Stress_n,Oxidative Stress_pct
BL25,Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,68.2,0.0,0.0,1.0,4.5,2.0,9.1,0.0,0.0,4.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
GV4,Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.1,0.0,0.0,29.0,87.9,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ST25,Disease,0.0,0.0,0.0,0.0,1.0,1.1,0.0,0.0,47.0,52.8,2.0,2.2,20.0,22.5,0.0,0.0,9.0,10.1,9.0,10.1,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
CV12,Disease,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,14.0,20.6,1.0,1.5,24.0,35.3,0.0,0.0,19.0,27.9,3.0,4.4,4.0,5.9,0.0,0.0,2.0,2.9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
PC6,Disease,7.0,3.9,0.0,0.0,71.0,39.4,0.0,0.0,12.0,6.7,4.0,2.2,5.0,2.8,0.0,0.0,54.0,30.0,8.0,4.4,14.0,7.8,2.0,1.1,2.0,1.1,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,
LI4,Disease,1.0,0.9,0.0,0.0,3.0,2.6,7.0,6.1,2.0,1.8,6.0,5.3,7.0,6.1,7.0,6.1,48.0,42.1,17.0,14.9,13.0,11.4,0.0,0.0,1.0,0.9,2.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,
SP6,Disease,16.0,5.5,1.0,0.3,1.0,0.3,2.0,0.7,9.0,3.1,11.0,3.8,49.0,16.8,10.0,3.4,50.0,17.2,78.0,26.8,23.0,7.9,3.0,1.0,37.0,12.7,1.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,
ST36,Disease,30.0,2.6,7.0,0.6,40.0,3.4,10.0,0.9,149.0,12.8,57.0,4.9,94.0,8.1,82.0,7.0,284.0,24.4,316.0,27.1,32.0,2.7,6.0,0.5,24.0,2.1,34.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,
BL25,Mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,18.2,0.0,0.0,1.0,4.5,4.0,18.2,8.0,36.4,0.0,0.0,0.0,0.0,1.0,4.5,2.0,9.1,0.0,0.0,2.0,9.1
GV4,Mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.0,17.2,6.0,20.7,0.0,0.0,3.0,10.3,0.0,0.0,1.0,3.4,0.0,0.0,1.0,3.4,10.0,34.5,3.0,10.3
ST25,Mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.7,14.0,15.9,2.0,2.3,3.0,3.4,17.0,19.3,24.0,27.3,4.0,4.5,6.0,6.8,0.0,0.0,3.0,3.4,5.0,5.7,5.0,5.7
CV12,Mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,6.0,9.2,0.0,0.0,5.0,7.7,5.0,7.7,15.0,23.1,0.0,0.0,10.0,15.4,1.0,1.5,9.0,13.8,9.0,13.8,4.0,6.2
PC6,Mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.6,14.0,8.4,3.0,1.8,21.0,12.6,2.0,1.2,50.0,29.9,14.0,8.4,6.0,3.6,2.0,1.2,12.0,7.2,16.0,9.6,21.0,12.6
LI4,Mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,1.0,0.9,2.0,1.8,6.0,5.4,3.0,2.7,41.0,36.9,3.0,2.7,5.0,4.5,1.0,0.9,12.0,10.8,17.0,15.3,10.0,9.0
SP6,Mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,9.9,33.0,12.1,5.0,1.8,26.0,9.6,11.0,4.0,75.0,27.6,7.0,2.6,6.0,2.2,18.0,6.6,22.0,8.1,23.0,8.5,19.0,7.0
ST36,Mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,6.2,108.0,9.9,14.0,1.3,88.0,8.1,52.0,4.8,341.0,31.3,46.0,4.2,43.0,4.0,53.0,4.9,90.0,8.3,109.0,10.0,76.0,7.0
