pair,domain,category,residual_site1,residual_site2
BL25-GV4,disease,Gastrointestinal,3.6742346141747673,-3.0
BL25-GV4,disease,Metabolic/Endocrine,-0.47434164902525694,0.38729833462074176
BL25-GV4,disease,Musculoskeletal,1.3416407864998738,-1.0954451150103324
BL25-GV4,disease,Neurological,-3.4058772731852804,2.7808871486152285
BL25-GV4,disease,Pain,1.8973665961010275,-1.5491933384829666
BL25-GV4,disease,Psychiatric,-0.6324555320336759,0.5163977794943223
ST25-CV12,disease,Cardiovascular,-0.12562019620089696,0.1437143100823396
ST25-CV12,disease,Gastrointestinal,2.112150519338927,-2.4163809949110853
ST25-CV12,disease,Immune/Inflammatory,0.2295579834568865,-0.26262311486633394
ST25-CV12,disease,Metabolic/Endocrine,-0.9896703369219301,1.1322207254972922
ST25-CV12,disease,Neurological,-1.7250337622839493,1.973504615602648
ST25-CV12,disease,Pain,0.8425266414109133,-0.9638827088179279
ST25-CV12,disease,Psychiatric,-1.0895888643073788,1.2465313432317089
ST25-CV12,disease,Reproductive,-1.064780710655222,1.218149866412212
PC6-LI4,disease,Addiction,0.9498030587127712,-1.193486169747753
PC6-LI4,disease,Cardiovascular,3.817255265802237,-4.796616861084966
PC6-LI4,disease,Dermatological,-2.0701966780270626,2.60132990857236
PC6-LI4,disease,Gastrointestinal,1.1710800875382399,-1.471534414763918
PC6-LI4,disease,Immune/Inflammatory,-0.8577775427960154,1.0778504287348745
PC6-LI4,disease,Metabolic/Endocrine,-0.8658617402841992,1.0880087218748575
PC6-LI4,disease,Musculoskeletal,-2.0701966780270626,2.60132990857236
PC6-LI4,disease,Neurological,-1.069157256391948,1.3434620862545812
PC6-LI4,disease,Pain,-1.8674731008271377,2.3465952207331746
PC6-LI4,disease,Psychiatric,-0.6224165553347287,0.7821048203622164
PC6-LI4,disease,Renal/Urological,0.7008255578851516,-0.880630571852711
PC6-LI4,disease,Reproductive,0.12046772038736679,-0.15137512652171925
PC6-LI4,disease,Respiratory,-0.617397066985255,0.7757975234238114
SP6-ST36,disease,Addiction,2.244747810688857,-1.121892096390978
SP6-ST36,disease,Cancer/Oncology,-0.47363556894061887,0.23671612411599172
SP6-ST36,disease,Cardiovascular,-2.513245544440787,1.256083333357923
SP6-ST36,disease,Dermatological,-0.257223230658886,0.12855640536109955
SP6-ST36,disease,Gastrointestinal,-4.017878738172719,2.008076978246412
SP6-ST36,disease,Immune/Inflammatory,-0.7027325104544385,0.35121542188469196
SP6-ST36,disease,Metabolic/Endocrine,3.819568615607837,-1.9089644819203362
SP6-ST36,disease,Musculoskeletal,-1.9559858107454315,0.9775730758168295
SP6-ST36,disease,Neurological,-2.0506077957745177,1.0248637588251712
SP6-ST36,disease,Pain,-0.08405325422754996,0.0420085860624548
SP6-ST36,disease,Psychiatric,3.6216579514154352,-1.8100516290414155
SP6-ST36,disease,Renal/Urological,0.8956562746838627,-0.4476358951620739
SP6-ST36,disease,Reproductive,7.105058623886069,-3.5510042939238713
SP6-ST36,disease,Respiratory,-2.266748251163501,1.1328875944901824
BL25-GV4,mechanism,Autonomic/Neuroendocrine,1.731536158676943,-1.5081478057277968
BL25-GV4,mechanism,Autophagy/Mitophagy,-1.46862614204502,1.2791562465851554
BL25-GV4,mechanism,Cell Survival/Apoptosis,-1.162229183210474,1.0122880678108397
BL25-GV4,mechanism,Gut-Brain/Enteric,1.731536158676943,-1.5081478057277968
BL25-GV4,mechanism,Inflammatory/Immune,1.4942226557647993,-1.3014505115979422
BL25-GV4,mechanism,Metabolic Pathway,-0.6567895774291854,0.5720560642415782
BL25-GV4,mechanism,Neural Circuit/Connectivity,0.8657680793384716,-0.7540739028638984
BL25-GV4,mechanism,Neurochemical Signaling,0.620505227994023,-0.5404528189332539
BL25-GV4,mechanism,Neuroprotective,-2.0769510081357425,1.8090001123149897
BL25-GV4,mechanism,Oxidative Stress,-0.10680917396691048,0.09302954520619305
ST25-CV12,mechanism,Analgesic/Opioid,0.8338456535684793,-0.9702202328084225
ST25-CV12,mechanism,Autonomic/Neuroendocrine,0.7361415200167511,-0.8565366910219713
ST25-CV12,mechanism,Autophagy/Mitophagy,0.7922117928043917,-0.9217771979249536
ST25-CV12,mechanism,Cell Survival/Apoptosis,-0.7465072662964457,0.868597744198514
ST25-CV12,mechanism,Gut-Brain/Enteric,1.2218650806754654,-1.42169982893132
ST25-CV12,mechanism,Inflammatory/Immune,0.3312011886169589,-0.38536879451393846
ST25-CV12,mechanism,Ion Channel/Pain Transduction,1.1203566616558749,-1.3035898147917382
ST25-CV12,mechanism,Metabolic Pathway,-1.0557207004064972,1.228382710092215
ST25-CV12,mechanism,Neural Circuit/Connectivity,-0.7583952786593614,0.8824300284744072
ST25-CV12,mechanism,Neurochemical Signaling,-1.4852400671409989,1.728149517301039
ST25-CV12,mechanism,Neuroprotective,-1.0756371943676633,1.251556525683907
ST25-CV12,mechanism,Oxidative Stress,-0.077563153499253,0.09024852563942792
PC6-LI4,mechanism,Analgesic/Opioid,-1.1649119165854709,1.428860511661739
PC6-LI4,mechanism,Autonomic/Neuroendocrine,1.6620733960005805,-2.038670056693945
PC6-LI4,mechanism,Autophagy/Mitophagy,-0.0020755555643702478,0.0025458400274428364
PC6-LI4,mechanism,Cell Survival/Apoptosis,1.1870321052586106,-1.4559927468595728
PC6-LI4,mechanism,Gut-Brain/Enteric,-0.5790800024593027,0.7102893676565557
PC6-LI4,mechanism,Inflammatory/Immune,-0.6310134937292283,0.7739900765700969
PC6-LI4,mechanism,Ion Channel/Pain Transduction,1.1852863335091641,-1.4538514138715217
PC6-LI4,mechanism,Metabolic Pathway,-0.23648833764961877,0.2900724443840606
PC6-LI4,mechanism,Neural Circuit/Connectivity,0.1473741891404596,-0.1807665938538974
PC6-LI4,mechanism,Neurochemical Signaling,-0.6366240170981361,0.7808718460648116
PC6-LI4,mechanism,Neuroprotective,-0.8588071688908515,1.0533978005453064
PC6-LI4,mechanism,Oxidative Stress,0.5509852578531549,-0.6758288470099709
SP6-ST36,mechanism,Analgesic/Opioid,1.835325870964494,-0.917662935482247
SP6-ST36,mechanism,Autonomic/Neuroendocrine,0.9038922925856515,-0.45194614629282537
SP6-ST36,mechanism,Autophagy/Mitophagy,0.6155870112510926,-0.3077935056255461
SP6-ST36,mechanism,Cell Survival/Apoptosis,0.6701662532667126,-0.3350831266333567
SP6-ST36,mechanism,Gut-Brain/Enteric,-0.4507489358552087,0.2253744679276046
SP6-ST36,mechanism,Inflammatory/Immune,-0.8989844697897053,0.4494922348948518
SP6-ST36,mechanism,Ion Channel/Pain Transduction,-1.105731210301112,0.5528656051505563
SP6-ST36,mechanism,Metabolic Pathway,-1.2138654734998862,0.6069327367499424
SP6-ST36,mechanism,Neural Circuit/Connectivity,1.008415295625123,-0.5042076478125611
SP6-ST36,mechanism,Neurochemical Signaling,-0.08451542547285136,0.04225771273642643
SP6-ST36,mechanism,Neuroprotective,-0.6617241025372943,0.3308620512686478
SP6-ST36,mechanism,Oxidative Stress,0.0,0.0
