disease_category,disease_pc1_loading,disease_pc2_loading,mechanism_category,mechanism_pc1_loading,mechanism_pc2_loading
Addiction,0.009159343862591967,-0.10729766327961628,Analgesic/Opioid,-0.06056640572703664,-0.2924863833812882
Cancer/Oncology,8.947153381415676e-08,-0.006859609385042438,Autonomic/Neuroendocrine,-0.3263580661420549,0.38645065589271776
Cardiovascular,0.06688177889527155,-0.37221383834407634,Autophagy/Mitophagy,0.3153067889468934,0.19551849333376603
Dermatological,0.01628713237489566,-0.027854595801165494,Cell Survival/Apoptosis,0.31063770430571847,0.016147735819924354
Gastrointestinal,-0.6753128475639677,0.5998424579674084,Gut-Brain/Enteric,-0.3278203210980383,0.6136030549624729
Immune/Inflammatory,0.007487062397997284,-0.08150586048201797,Inflammatory/Immune,-0.43701209730982077,-0.5166599219820782
Metabolic/Endocrine,-0.051581282101552516,0.12394726385406515,Ion Channel/Pain Transduction,-0.038142804376588776,-0.14576844040644615
Musculoskeletal,-0.0441609108187484,-0.03904440689897956,Metabolic Pathway,0.028588515121971008,0.10492261352815538
Neurological,0.7190009231244794,0.5657992578259684,Neural Circuit/Connectivity,-0.06796630239995542,-0.06343536553976663
Pain,-0.11839273994956037,-0.3254661024292207,Neurochemical Signaling,-0.06616167215203912,-0.1904529340755826
Psychiatric,0.0585543365987312,-0.13263626656487393,Neuroprotective,0.6176622648586817,-0.004904690367353321
Renal/Urological,0.0019124040660459954,-0.02329363219847968,Oxidative Stress,0.05183239597226943,-0.10293481778452077
Reproductive,0.004726066023316482,-0.1439399728074288,,,
Respiratory,0.005438643618965623,-0.029477031456539394,,,
