iteration,mantel_r,p_value
1,0.12753147235905857,0.1782178217821782
2,0.28133552271483303,0.0594059405940594
3,0.05199781061850027,0.37623762376237624
4,0.48877941981390255,0.04950495049504951
5,0.07498631636562669,0.3564356435643564
6,0.10509031198686371,0.3465346534653465
7,0.1625615763546798,0.18811881188118812
8,0.4220032840722496,0.0297029702970297
9,0.2671045429666119,0.0891089108910891
10,0.3787629994526546,0.04950495049504951
11,0.13793103448275862,0.24752475247524752
12,0.5177887246852765,0.019801980198019802
13,-0.0010946907498631637,0.44554455445544555
14,0.3289545703338807,0.0594059405940594
15,0.6075533661740558,0.009900990099009901
16,0.18336070060207993,0.24752475247524752
17,0.32129173508483855,0.16831683168316833
18,0.1713191023535851,0.24752475247524752
19,0.18555008210180626,0.19801980198019803
20,0.26327312534209085,0.16831683168316833
21,0.2747673782156541,0.16831683168316833
22,0.0722495894909688,0.3564356435643564
23,0.1357416529830323,0.297029702970297
24,0.5101258894362343,0.019801980198019802
25,-0.07662835249042146,0.693069306930693
26,0.2556102900930487,0.13861386138613863
27,-0.02463054187192118,0.5346534653465347
28,0.11603721948549535,0.2376237623762376
29,0.2791461412151068,0.07920792079207921
30,0.3990693892578808,0.04950495049504951
31,0.16420361247947454,0.25742574257425743
32,0.15519365137806476,0.21782178217821782
33,0.12151067323481116,0.37623762376237624
34,0.12698412698412698,0.2871287128712871
35,0.08976464148877941,0.33663366336633666
36,0.051450465243568694,0.43564356435643564
37,0.22660098522167485,0.0891089108910891
38,0.20853858784893267,0.1782178217821782
39,-0.01860974274767378,0.6534653465346535
40,0.1992337164750958,0.15841584158415842
41,0.21072796934865898,0.26732673267326734
42,0.28078817733990147,0.15841584158415842
43,0.10454296661193212,0.39603960396039606
44,0.1357416529830323,0.24752475247524752
45,0.05582922824302135,0.39603960396039606
46,0.2654625068418172,0.09900990099009901
47,0.19704433497536944,0.2079207920792079
48,-0.0782703886152162,0.5643564356435643
49,0.4192665571975917,0.0297029702970297
50,0.4033935413245758,0.0297029702970297
51,0.16365626710454295,0.19801980198019803
52,0.16584564860426929,0.15841584158415842
53,0.21018062397372742,0.09900990099009901
54,0.1538040503557745,0.1782178217821782
55,0.09797482211275313,0.37623762376237624
56,0.2517788724685276,0.15841584158415842
57,0.3459222769567597,0.06930693069306931
58,0.06513409961685823,0.45544554455445546
59,0.1954022988505747,0.1485148514851485
60,0.5801860974274767,0.009900990099009901
61,0.15818281335522713,0.24752475247524752
62,0.12260536398467432,0.2871287128712871
63,0.4428024083196497,0.009900990099009901
64,0.1231527093596059,0.33663366336633666
65,-0.09414340448823208,0.6633663366336634
66,0.35358511220580185,0.09900990099009901
67,0.07389162561576354,0.3564356435643564
68,0.22495894909688013,0.15841584158415842
69,0.2928297755883963,0.1485148514851485
70,0.14778325123152708,0.13861386138613863
71,0.25068418171866447,0.22772277227722773
72,0.36179529282977557,0.04950495049504951
73,0.054187192118226604,0.3465346534653465
74,0.21376762209218442,0.19801980198019803
75,0.3656267104542967,0.0297029702970297
76,-0.04159824849480022,0.5544554455445545
77,0.24192665571975916,0.13861386138613863
78,0.36288998357963875,0.07920792079207921
79,0.09742747673782157,0.37623762376237624
80,0.0755336617405583,0.40594059405940597
81,0.1291735084838533,0.297029702970297
82,-0.12643678160919541,0.693069306930693
83,0.08538587848932677,0.31683168316831684
84,0.06075533661740558,0.44554455445544555
85,0.19047619047619047,0.16831683168316833
86,0.36015325670498083,0.07920792079207921
87,0.26491516146688554,0.10891089108910891
88,0.21729611384783798,0.1485148514851485
89,0.23043240284619596,0.16831683168316833
90,0.46469622331691296,0.019801980198019802
91,0.06568144499178982,0.39603960396039606
92,0.3634373289545703,0.07920792079207921
93,0.16146688560481665,0.25742574257425743
94,0.10454296661193212,0.31683168316831684
95,0.5046524356869184,0.009900990099009901
96,0.17624521072796934,0.1485148514851485
97,0.30158730158730157,0.09900990099009901
98,0.14833059660645867,0.19801980198019803
99,0.04159824849480022,0.39603960396039606
100,0.4991789819376027,0.009900990099009901
